feature_profile,profile_label,config,config_label,rank,feature_name,feature_tier,hit_count,case_count,mean_feature_score,earliest_block_s,likely_subsystem,likely_hardware_block,hardware_confidence,layperson_summary,platform_note
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,1.0,tier1_alt:ane_power_w,tier1_alt,30.0,6.0,8.39941101155809e-05,30.0,,,,,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,2.0,tier0:mem_free_bytes,tier0,20.0,4.0,8.693875052335221e-06,30.0,,,,,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,3.0,tier0:mem_inactive_bytes,tier0,16.0,4.0,5.310125399019448e-06,30.0,,,,,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,4.0,tier1_alt:gpu_avg_freq_mhz,tier1_alt,5.0,1.0,97.79335860042715,30.0,,,,,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,5.0,tier0:swap_sout_bytes,tier0,5.0,1.0,3.4027928719950626e-05,30.0,,,,,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,6.0,tier0:net_sent_Bps,tier0,5.0,1.0,9.082203836161351e-06,80.0,,,,,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,7.0,tier2:unique_process_count,tier2,5.0,1.0,4.097917263076289e-06,803.0,,,,,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,8.0,tier2:unique_thread_count,tier2,3.0,1.0,6.048582489735343e-06,30.0,,,,,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,9.0,tier0:net_sent_Pps,tier0,2.0,1.0,5.991771508014312e-06,33.0,,,,,
,,,,,,,,,,,Neural Engine,16-core Neural Engine power domain,medium,This feature points to the Neural Engine or a nearby power proxy.,"Treat as a strong subsystem clue, but not proof that the ANE is the sole root cause unless the workload uses ANE-backed operations."
,,,,,,,,,,,Unified memory and swap path,"16 GB unified memory, memory fabric, and SSD-backed swap path",high,This feature points to memory pressure or spillover into swap on the laptop.,"On this 16 GB unified-memory system, these features are especially meaningful for memory-bound stressors."
,,,,,,,,,,,Unified memory and swap path,"16 GB unified memory, memory fabric, and SSD-backed swap path",high,This feature points to memory pressure or spillover into swap on the laptop.,"On this 16 GB unified-memory system, these features are especially meaningful for memory-bound stressors."
,,,,,,,,,,,GPU / display path,19-core integrated GPU plus display engine,medium,This feature points to graphics/display-side activity on the SoC.,An attached external display can raise the baseline GPU/display load even without an anomaly.
,,,,,,,,,,,Unified memory and swap path,"16 GB unified memory, memory fabric, and SSD-backed swap path",high,This feature points to memory pressure or spillover into swap on the laptop.,"On this 16 GB unified-memory system, these features are especially meaningful for memory-bound stressors."
,,,,,,,,,,,Network / software I/O path,Host-visible networking stack and workload I/O behavior,medium,This feature points to network or software I/O behavior that changes when the anomaly starts.,"This is often context about workload behavior, not a direct silicon fault site."
,,,,,,,,,,,Runtime scheduling / profiler path,Software execution structure seen through Instruments rather than a single physical block,medium,This feature points to how work is being scheduled and executed over time.,"Tier-2 features are strong for explanation, but they are still behavioral rather than transistor-level localization."
,,,,,,,,,,,Runtime scheduling / profiler path,Software execution structure seen through Instruments rather than a single physical block,medium,This feature points to how work is being scheduled and executed over time.,"Tier-2 features are strong for explanation, but they are still behavioral rather than transistor-level localization."
,,,,,,,,,,,Network / software I/O path,Host-visible networking stack and workload I/O behavior,medium,This feature points to network or software I/O behavior that changes when the anomaly starts.,"This is often context about workload behavior, not a direct silicon fault site."
full,Full,tier0_tier1_tier2,Tier-0/1/2,1.0,tier1_alt:memory_swap_total,tier1_alt,25.0,5.0,0.0004624460527767,60.0,,,,,
full,Full,tier0_tier1_tier2,Tier-0/1/2,2.0,tier0:mem_free_bytes,tier0,22.0,5.0,0.0004469597868203,60.0,,,,,
full,Full,tier0_tier1_tier2,Tier-0/1/2,3.0,tier1_alt:ane_power,tier1_alt,15.0,3.0,0.0015947081239333,60.0,,,,,
full,Full,tier0_tier1_tier2,Tier-0/1/2,4.0,tier0:mem_available_bytes,tier0,13.0,3.0,0.0003064293937121,60.0,,,,,
full,Full,tier0_tier1_tier2,Tier-0/1/2,5.0,tier0:swap_sout_bytes,tier0,5.0,1.0,0.0016054733439466,60.0,,,,,
full,Full,tier0_tier1_tier2,Tier-0/1/2,6.0,tier0:swap_used_bytes,tier0,5.0,1.0,0.0006640691552341,60.0,,,,,
full,Full,tier0_tier1_tier2,Tier-0/1/2,7.0,tier0:load15,tier0,5.0,1.0,0.0002523194614769,60.0,,,,,
full,Full,tier0_tier1_tier2,Tier-0/1/2,8.0,tier0:net_recv_Bps,tier0,1.0,1.0,0.0002763485528844,819.0,,,,,
,,,,,,,,,,,Unified memory and swap path,"16 GB unified memory, memory fabric, and SSD-backed swap path",high,This feature points to memory pressure or spillover into swap on the laptop.,"On this 16 GB unified-memory system, these features are especially meaningful for memory-bound stressors."
,,,,,,,,,,,Unified memory and swap path,"16 GB unified memory, memory fabric, and SSD-backed swap path",high,This feature points to memory pressure or spillover into swap on the laptop.,"On this 16 GB unified-memory system, these features are especially meaningful for memory-bound stressors."
,,,,,,,,,,,Neural Engine,16-core Neural Engine power domain,medium,This feature points to the Neural Engine or a nearby power proxy.,"Treat as a strong subsystem clue, but not proof that the ANE is the sole root cause unless the workload uses ANE-backed operations."
,,,,,,,,,,,Unified memory and swap path,"16 GB unified memory, memory fabric, and SSD-backed swap path",high,This feature points to memory pressure or spillover into swap on the laptop.,"On this 16 GB unified-memory system, these features are especially meaningful for memory-bound stressors."
,,,,,,,,,,,Unified memory and swap path,"16 GB unified memory, memory fabric, and SSD-backed swap path",high,This feature points to memory pressure or spillover into swap on the laptop.,"On this 16 GB unified-memory system, these features are especially meaningful for memory-bound stressors."
,,,,,,,,,,,Unified memory and swap path,"16 GB unified memory, memory fabric, and SSD-backed swap path",high,This feature points to memory pressure or spillover into swap on the laptop.,"On this 16 GB unified-memory system, these features are especially meaningful for memory-bound stressors."
,,,,,,,,,,,CPU complex,"12-core CPU cluster, scheduler-visible activity, and nearby power/thermal control",high,This feature points to the CPU side of the M2 Pro.,This is one of the clearest subsystem-level mappings in the notebook.
,,,,,,,,,,,Network / software I/O path,Host-visible networking stack and workload I/O behavior,medium,This feature points to network or software I/O behavior that changes when the anomaly starts.,"This is often context about workload behavior, not a direct silicon fault site."
