stressor,mechanism_top1_coverage,mechanism_top2_coverage,mechanism_top3_coverage,feature_profile,profile_label,config,config_label,likely_subsystem,likely_hardware_block,layperson_summary
ATOMIC,0.40138775158894,0.675291853595235,0.8778477060867699,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,CPU cores and synchronization path,"CPU cluster, shared caches, and cache-coherence / lock-contention path","Many workers are fighting over shared data, so CPU-side contention becomes visible."
BRANCH,0.46566839164541096,0.7132924382132917,0.9033525531734767,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,CPU front-end and control flow,CPU fetch / decode / branch-prediction path on the M2 Pro cores,The anomaly looks most like unstable instruction-flow behavior on the CPU side.
CACHE,0.5262090391724128,0.7435306347513678,0.8814778247263221,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,CPU cache and memory hierarchy,CPU cache hierarchy and its interface to the unified-memory system,The anomaly looks most like cache-pressure behavior rather than pure software noise.
MEMBW,0.4852598868343938,0.7181329635575081,0.8844546475935496,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,Unified memory and memory fabric,"Unified-memory bandwidth path, memory controller, and possible swap spillover",The anomaly looks most like the system pushing hard on shared memory bandwidth.
TLB,0.40035755241881593,0.7006276469743371,0.8931831397254166,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,Address translation and MMU path,CPU-side translation structures and page-walk behavior,The anomaly looks most like address-translation pressure rather than raw arithmetic load.
ATOMIC,0.3398572260791793,0.6616680168987914,0.7968961348760395,full,Full,tier0_tier1_tier2,Tier-0/1/2,CPU cores and synchronization path,"CPU cluster, shared caches, and cache-coherence / lock-contention path","Many workers are fighting over shared data, so CPU-side contention becomes visible."
BRANCH,0.4005226664230698,0.6932973288712297,0.8415519519464084,full,Full,tier0_tier1_tier2,Tier-0/1/2,CPU front-end and control flow,CPU fetch / decode / branch-prediction path on the M2 Pro cores,The anomaly looks most like unstable instruction-flow behavior on the CPU side.
CACHE,0.5016468953418226,0.7713748226022187,0.8616653632424047,full,Full,tier0_tier1_tier2,Tier-0/1/2,CPU cache and memory hierarchy,CPU cache hierarchy and its interface to the unified-memory system,The anomaly looks most like cache-pressure behavior rather than pure software noise.
MEMBW,0.39040380357423876,0.6772595676061759,0.8145841652526413,full,Full,tier0_tier1_tier2,Tier-0/1/2,Unified memory and memory fabric,"Unified-memory bandwidth path, memory controller, and possible swap spillover",The anomaly looks most like the system pushing hard on shared memory bandwidth.
TLB,0.3887442872447926,0.6799763652213441,0.8259683684274591,full,Full,tier0_tier1_tier2,Tier-0/1/2,Address translation and MMU path,CPU-side translation structures and page-walk behavior,The anomaly looks most like address-translation pressure rather than raw arithmetic load.
