model_id,case_id,prompt_type,mentions_dominant_tier,mentions_dominant_mechanism,mentions_top_feature_1,mentions_top_mechanism_1,grounded_core,cue_coverage,unsupported_tier_mentions,unsupported_mechanism_mentions,hallucination_flag
mlx-community/Qwen2.5-0.5B-Instruct-4bit,BROWSER__ATOMIC,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,BROWSER__BRANCH,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,BROWSER__CACHE,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,BROWSER__MEMBW,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,BROWSER__TLB,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_AI__ATOMIC,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_AI__BRANCH,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_AI__CACHE,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_AI__MEMBW,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_AI__TLB,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_STATS__ATOMIC,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_STATS__BRANCH,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_STATS__CACHE,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_STATS__MEMBW,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,PY_STATS__TLB,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,VIDEO_SW__ATOMIC,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,VIDEO_SW__BRANCH,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,VIDEO_SW__CACHE,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,VIDEO_SW__MEMBW,reviewer_summary,True,True,False,True,True,0.75,False,False,False
mlx-community/Qwen2.5-0.5B-Instruct-4bit,VIDEO_SW__TLB,reviewer_summary,True,True,False,True,True,0.75,False,False,False
